id,id_item,x1,y1,z1,id,id_bone,id_taxon,id_archaeologicalSite,level,layer,sector,square,side,x_localization,y_localization,z_localization,age,size,name
1,1340,84,52.4402,25.1705,33.6271,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
2,1341,84,50.8227,24.7388,35.5773,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
3,1342,84,52.5766,24.5889,38.0554,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
4,1343,84,50.882,25.242,31.654,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
5,1344,84,54.98,25.77,29.991,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
6,1345,84,49.511,23.818,39.861,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
7,1346,84,49.8823,24.8707,27.6833,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
8,1347,84,52.5575,25.7228,27.4179,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
9,1348,84,52.4146,27.7134,25.0787,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
10,1349,84,61.868,32.101,22.462,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
11,1350,84,49.1663,33.9126,17.084,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
12,1351,84,52.097,35.764,12.931,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
13,1352,84,54.608,36.882,12.614,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
14,1353,84,52.5653,45.1265,14.5933,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
15,1354,84,51.631,48.164,17.134,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
16,1355,84,47.8418,55.6431,27.6697,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
17,1356,84,53.649,56.194,28.911,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
18,1357,84,52.974,58.399,34.825,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
19,1358,84,51.5069,57.4524,31.4053,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
20,1359,84,53.2338,52.2482,22.9973,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
21,1360,84,47.533,58.809,32.794,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
22,1361,84,46.1985,61.265,37.333,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
23,1362,84,48.322,60.194,44.549,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
24,1363,84,53.597,56.52,44.732,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
25,1364,84,50.683,56.342,47.171,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
26,1365,84,56.525,54.191,44.902,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
27,1366,84,51.72,53.658,48.102,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
28,1367,84,59.345,53.1277,44.2804,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
29,1368,84,59.461,51.182,45.415,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
30,1369,84,51.34,50.231,48.805,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
31,1370,84,47.398,49.237,50.344,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
32,1371,84,62.732,51.382,44.021,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
33,1372,84,51.827,47.66,48.967,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
34,1373,84,60.63,40.4554,47.8883,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
35,1374,84,57.5717,41.7606,48.9483,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
36,1375,84,57.7555,38.2386,48.695,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
37,1376,84,52.405,31.735,45.288,84,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11
38,1377,85,85.6692,49.7072,22.4093,85,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11B
39,1378,85,85.2387,45.1303,18.0304,85,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11B
40,1379,85,81.238,43.199,16.557,85,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11B
41,1380,85,85.644,51.243,25.894,85,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11B
42,1381,85,86.292,50.196,23.273,85,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11B
43,1382,85,87.053,51.008,25.452,85,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11B
44,1383,85,76.574,33.934,17.3,85,1,2,7,-9999,-9999,-9999,-9999,Right,0,0,0,Prime,Large,C 11B
